license_number,company_name,company_dba,license_classification,2 or more companies,# in each license,issued_date,naics_code,naics_name,,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
GBL-0124-25907,W AND G BAO BUN HIBACHI ATLANTA INC,Ira Lane Coffee,Accommodation and Food Services,,,2025-02-11 02:53:35,722514,"Cafeterias, Grill Buffets, and Buffets ",,,315 Deshler,,ST,SW,,Atlanta,GA,30310,315 Deshler nan ST Atlanta GA 30310,"315 Deshler St SW, Atlanta, Georgia, 30310",-84.43455774,33.71121485,TRUE,12,S
GBL-0124-25930,Curated Coffee Books & Plants LLC,MJQ Concourse,Accommodation and Food Services,,,2025-02-11 22:09:36,722410,Drinking Places (Alcoholic Beverages) ,,,"50 Alabama, Lower",,,,Suite 001,Atlanta,GA,30303,"50 Alabama, Lower nan nan Atlanta GA 30303","50 Lower Alabama St, Atlanta, Georgia, 30303",-84.39068706,33.75265773,FALSE,4,M
GBL-0124-26054,Roberts Brand LLC,,Accommodation and Food Services,,,2025-01-27 12:09:04,722511,Full-Service Restaurants ,,,1715 Howell Mill Rd NW,,,,Suite #C15-A,Atlanta,GA,30318,1715 Howell Mill Rd NW nan nan Atlanta GA 30318,"1715 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.41433514,33.80115498,FALSE,9,D
GBL-0124-26122,Sodexo@CSX Redi Center Atlanta,,Accommodation and Food Services,x,,2025-01-30 17:03:44,722330,Mobile Food Services,,,324,CLIMAX,Street,SE,,Atlanta,GA,30315,324 CLIMAX Street Atlanta GA 30315,"324 Climax St SE, Atlanta, Georgia, 30315",-84.37755107,33.72126044,TRUE,1,Y
GBL-0124-26212,Cupcakin' Bake Shop,Great American Cookie/PretzelMaker,Accommodation and Food Services,x,,2025-02-14 09:17:11,722515,Snack and Nonalcoholic Beverage Bars ,,,2841 Greenbriar Pkwy SW Space N-425,,,,,Atlanta,GA,30331,2841 Greenbriar Pkwy SW Space N-425 nan nan Atlanta GA 30331,"2841 Greenbriar Pkwy SW, Suite N425, Atlanta, Georgia, 30331",-84.49571939,33.68661803,TRUE,11,R
GBL-0124-26304,Five Iron Golf Atlanta LLC,,Accommodation and Food Services,x,,2025-02-06 08:54:02,722310,Food Service Contractors,,,1460,MARIETTA,Boulevard,NW,,Atlanta,GA,30318,1460 MARIETTA Boulevard Atlanta GA 30318,"1460 Marietta Blvd NW, Atlanta, Georgia, 30318",-84.43224231,33.79514738,FALSE,9,D
GBL-0124-26326,Five Iron Golf Atlanta LLC,Cupcakin Bake Shop,Accommodation and Food Services,,,2025-02-16 18:40:46,311811,Retail Bakeries ,,NE,1197 Peachtree Street,,ST,,180,Atlanta,GA,30361,1197 Peachtree Street nan ST Atlanta GA 30361,"1197 Peachtree St, Atlanta, Georgia, 30361",-84.38317534,33.78693269,FALSE,6,E
GBL-0124-26770,Jos Deli LLC,Five Iron Golf,Accommodation and Food Services,x,,2025-01-30 11:04:26,722511,Full-Service Restaurants ,,,675 West Peachtree Street NE,,,,Suite 209,Atlanta,GA,30308,675 West Peachtree Street NE nan nan Atlanta GA 30308,"675 W Peachtree St NE, Atlanta, Georgia, 30308",-84.38670201,33.77339902,FALSE,2,E
GBL-0124-26770,Painted Pickle LLC,Five Iron Golf,Accommodation and Food Services,x,,2025-01-30 11:04:26,722511,Full-Service Restaurants ,,,675 West Peachtree Street NE,,,,Suite 209,Atlanta,GA,30308,675 West Peachtree Street NE nan nan Atlanta GA 30308,"675 W Peachtree St NE, Atlanta, Georgia, 30308",-84.38670201,33.77339902,FALSE,2,E
GBL-0124-26809,Painted Pickle LLC,,Accommodation and Food Services,x,,2025-01-30 09:06:38,722511,Full-Service Restaurants ,,,75,MARIETTA,Street,NW,,Atlanta,GA,30318,75 MARIETTA Street Atlanta GA 30318,"75 Marietta St, Alpharetta, Georgia, 30009",-84.29727703,34.07286434,FALSE,,
